|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
|Neither DES (Data Encryption Standard) nor DESede (3DES) should be used| |['cert', 'cwe', 'owasp-a6', 'sans-top25-porous']|
